username,repo_name,stars,repo_url
amphp,amp,https://github.com/amphp/amp,3.9k
danog,MadelineProto,https://github.com/danog/MadelineProto,2.3k
amphp,http-server,https://github.com/amphp/http-server,1.2k
unreal4u,telegram-api,https://github.com/unreal4u/telegram-api,751
amphp,parallel,https://github.com/amphp/parallel,648
amphp,http-client,https://github.com/amphp/http-client,647
php-service-bus,service-bus,https://github.com/php-service-bus/service-bus,337
amphp,byte-stream,https://github.com/amphp/byte-stream,324
amphp,mysql,https://github.com/amphp/mysql,304
amphp,parallel-functions,https://github.com/amphp/parallel-functions,239
amphp,process,https://github.com/amphp/process,210
amphp,socket,https://github.com/amphp/socket,190
amphp,redis,https://github.com/amphp/redis,136
amphp,sync,https://github.com/amphp/sync,133
amphp,dns,https://github.com/amphp/dns,132
kelunik,acme,https://github.com/kelunik/acme,117
amphp,websocket-client,https://github.com/amphp/websocket-client,116
amphp,serialization,https://github.com/amphp/serialization,95
PeeHaa,mailgrab,https://github.com/PeeHaa/mailgrab,92
amphp,websocket-server,https://github.com/amphp/websocket-server,90
